그룹,videoId,제목,채널,조회수,좋아요,댓글수,영상길이,게시일,썸네일
코스피 6000,b3-d9sL8IHU,"[속보] 코스피 6,000선 돌파 '꿈의 6천피 시대' 사상 최고치 - [MBC 뉴스속보] MBC뉴스 2026년 02월 25일",MBCNEWS,51766,1069,11,PT18M24S,2026-02-25T15:07:39Z,https://i.ytimg.com/vi/b3-d9sL8IHU/mqdefault.jpg
코스피 6000,N82nQ6l6PJ4,"""코스피 6000 깨지기전 꼭 확인하세요"" 110조 매도 폭탄의 정체, 범인은 사람이 아닙니다.",지식타파,48623,2109,128,PT24M34S,2026-02-26T21:00:23Z,https://i.ytimg.com/vi/N82nQ6l6PJ4/mqdefault.jpg
코스피 6000,ca42068XxOU,"코스피 6,000의 불편한 진실",경제왕 김피비,46246,1958,209,PT15M28S,2026-02-27T02:00:43Z,https://i.ytimg.com/vi/ca42068XxOU/mqdefault.jpg
코스피 6000,EimH9bUOdck,"코스피 6000 시대, 장성철의 울부짖음",경향TV,42171,1853,144,PT1M57S,2026-02-25T13:30:14Z,https://i.ytimg.com/vi/EimH9bUOdck/mqdefault.jpg
코스피 6000,QWQgsDbW4t8,"""반도체 못 사신 분들 꼭 보세요"" 코스피 6000 이후 외국인들이 조용히 쓸어 담는 '4가지 종목' 정확히 알려드립니다",머니클래스 - 경제적 자유를 향하여,38007,1388,36,PT30M6S,2026-02-26T04:32:27Z,https://i.ytimg.com/vi/QWQgsDbW4t8/mqdefault.jpg
코스피 6000,HgRap050z5w,"[오늘 이 뉴스] 코스피 6,000 장중 돌파 (2026.02.25/MBC뉴스)",MBCNEWS,34056,2088,499,PT1M9S,2026-02-25T00:46:35Z,https://i.ytimg.com/vi/HgRap050z5w/mqdefault.jpg
코스피 6000,rgv7BDvoXzw,"""전 재산 국장에 몰빵할 때인가요?"" 코스피 6000 시대 개막, 이건 거품이 아니라 '회장님들의 비자금 창고'가 털렸기 때문입니다. (자사주 소각의 충격적 진실)",코 앞의 경제 (자산 방어 전략),32204,1338,97,PT24M32S,2026-02-22T04:15:08Z,https://i.ytimg.com/vi/rgv7BDvoXzw/mqdefault.jpg
코스피 6000,FwNNny_c8O0,"""코스피 6,000 시대? 하지만..."" 국민연금 회의록 비공개, 현 정부의 목적은 무엇일까? (feat. 연임제 개헌)",윤석종,31288,1778,257,PT9M18S,2026-02-22T15:48:50Z,https://i.ytimg.com/vi/FwNNny_c8O0/mqdefault.jpg
코스피 6000,Cw_iV6yb_n8,[엠스피드] 코스피 6000에.. 국힘은 상법 개정안 필리버스터 중 260225 MBC,MBC 라디오 시사,30887,1269,112,PT1M51S,2026-02-25T02:30:20Z,https://i.ytimg.com/vi/Cw_iV6yb_n8/mqdefault.jpg
코스피 6000,3SSIT66EhXQ,상법개정반대 필리버스터 상관없이 코스피 6000 돌파!! 민생법안이든 뭐든 무조건 시간만 끄는 국민의힘 ㅠㅠ #코스피6000 #상법개정 #필리버스터 #코스피 #국민의힘,정의와공정,30088,1826,18,PT33S,2026-02-27T03:00:05Z,https://i.ytimg.com/vi/3SSIT66EhXQ/mqdefault.jpg
코스피 6000,tSXkj2Omz34,"[속보효] 코스피 6000 돌파… 7,900 논리까지 바로 공개합니다",이효석아카데미,29753,1085,52,PT17M47S,2026-02-25T02:27:32Z,https://i.ytimg.com/vi/tSXkj2Omz34/mqdefault.jpg
코스피 6000,kzZf5YyYR7I,코스피6000돌파 최욱 반응 모음,최욱에 반하다,29481,896,84,PT20M35S,2026-02-25T09:54:09Z,https://i.ytimg.com/vi/kzZf5YyYR7I/mqdefault.jpg
코스피 6000,bj7bJjY717M,코스피 6000 뚫었는데 국민의힘은 뭘 하고 있냐면,정치요약,27560,2103,22,PT1M1S,2026-02-25T05:36:17Z,https://i.ytimg.com/vi/bj7bJjY717M/mqdefault.jpg
코스피 6000,zhFneasSz7g,"코스피 6000돌파📈 남들 다 돈 버는데, 내 월급은 휴지조각이 되고 있다",근본의사 김동욱,25152,780,57,PT17M48S,2026-02-25T10:15:06Z,https://i.ytimg.com/vi/zhFneasSz7g/mqdefault.jpg
코스피 6000,rUX7RMcpcpI,코스피 6000시대 법왜곡죄 만드는 나라! 신동욱,보수의 시선,24653,6875,116,PT1M49S,2026-02-26T08:11:30Z,https://i.ytimg.com/vi/rUX7RMcpcpI/mqdefault.jpg
